Wed Apr 21 19:40:25 2021				
				
				
Number of Points = 2987				
				
Depth (nm)	Load (µN)	Time (s)	Disp. Voltage(V)	Force Voltage(V)
-11.295296	-4.743908	0.505485	0.002668	0.996018
-11.300327	-4.730016	0.51049	0.002669	0.996035
-11.582658	-4.638131	0.515494	0.002731	0.996022
-11.481761	-4.762769	0.520499	0.002709	0.995901
-11.910852	-4.70569	0.525504	0.002803	0.995768
-12.085512	-4.634615	0.530509	0.002841	0.995779
-12.056896	-4.65408	0.535514	0.002834	0.995767
-12.171985	-4.606926	0.540518	0.002859	0.995775
-12.11204	-4.667036	0.545523	0.002846	0.995722
-12.843539	-4.606246	0.550528	0.003006	0.995444
-12.814103	-4.625321	0.555533	0.003	0.995433
-12.873423	-4.591235	0.560538	0.003012	0.995451
-12.863492	-4.604433	0.565542	0.00301	0.995438
-12.67427	-4.656082	0.570547	0.002969	0.99546
-13.007968	-4.553328	0.575552	0.003042	0.995437
-12.967785	-4.740598	0.580557	0.003033	0.9952
-13.516541	-4.594808	0.585562	0.003152	0.995129
-13.537677	-4.581725	0.590566	0.003157	0.995137
-13.873217	-4.476143	0.595571	0.00323	0.995116
-13.267293	-4.687183	0.600576	0.003098	0.995126
-13.847423	-4.650256	0.605581	0.003224	0.99489
-14.104598	-4.60714	0.610586	0.003281	0.994822
-14.470035	-4.494036	0.61559	0.00336	0.994797
-14.130289	-4.599487	0.620595	0.003286	0.994821
-14.220201	-4.579159	0.6256	0.003306	0.994804
-14.160521	-4.590541	0.630605	0.003292	0.994818
-14.720383	-4.607893	0.63561	0.003415	0.994518
-14.446413	-4.702127	0.640614	0.003355	0.994524
-15.131818	-4.472477	0.645619	0.003504	0.994501
-14.758091	-4.596681	0.650624	0.003423	0.994515
-15.332264	-4.407542	0.655629	0.003548	0.994491
-14.885736	-4.691852	0.660634	0.00345	0.994321
-15.442654	-4.602245	0.665638	0.003572	0.994169
-15.793634	-4.457275	0.670643	0.003649	0.994195
-15.840954	-4.453504	0.675648	0.003659	0.994177
-15.398006	-4.599373	0.680653	0.003562	0.994196
-15.378813	-4.642043	0.685658	0.003558	0.994147
-16.397741	-4.471345	0.690662	0.00378	0.993878
-16.027649	-4.619152	0.695667	0.003699	0.993858
-16.088479	-4.581082	0.700672	0.003713	0.99388
-16.520217	-4.431916	0.705677	0.003807	0.993872
-16.521833	-4.433006	0.710682	0.003807	0.99387
-16.103455	-4.681543	0.715686	0.003716	0.993735
-16.586869	-4.627762	0.720691	0.003821	0.99357
-17.375554	-4.356007	0.725696	0.003993	0.993554
-16.882633	-4.521224	0.730701	0.003886	0.993571
-17.123943	-4.445128	0.735706	0.003938	0.993556
-17.057368	-4.589849	0.74071	0.003924	0.99339
-17.317115	-4.606596	0.745715	0.00398	0.993239
-17.349926	-4.577138	0.75072	0.003987	0.993263
-17.857451	-4.410853	0.755725	0.004098	0.993241
-17.291083	-4.603227	0.76073	0.003974	0.993257
-18.439954	-4.351141	0.765734	0.004225	0.993035
-17.083093	-4.786214	0.770739	0.003929	0.993108
-18.674279	-4.357692	0.775744	0.004276	0.99291
-17.778196	-4.667293	0.780749	0.00408	0.992928
-18.43169	-4.443403	0.785754	0.004223	0.992913
-18.536437	-4.533509	0.790758	0.004246	0.992737
-18.486415	-4.650084	0.795763	0.004235	0.992601
-19.120544	-4.411232	0.800768	0.004373	0.992616
-18.912381	-4.496431	0.805773	0.004328	0.992602
-18.747239	-4.545881	0.810778	0.004292	0.992616
-18.888063	-4.505512	0.815782	0.004322	0.992602
-19.19753	-4.598167	0.820787	0.00439	0.992321
-19.77189	-4.421634	0.825792	0.004515	0.99228
-19.319856	-4.568324	0.830797	0.004416	0.992302
-19.928761	-4.359492	0.835802	0.004549	0.992289
-19.422192	-4.519228	0.840806	0.004439	0.99232
-19.917438	-4.463487	0.845811	0.004547	0.992151
-20.124835	-4.492796	0.850816	0.004592	0.992008
-20.355674	-4.421234	0.855821	0.004642	0.991992
-20.168067	-4.476678	0.860826	0.004601	0.992009
-20.027311	-4.540403	0.86583	0.00457	0.991991
-19.852882	-4.647596	0.870835	0.004532	0.99193
-20.687418	-4.542767	0.87584	0.004715	0.991661
-20.646982	-4.537306	0.880845	0.004706	0.991689
-20.841417	-4.485452	0.88585	0.004748	0.991664
-20.829115	-4.476436	0.890854	0.004745	0.991683
-21.315648	-4.510687	0.895859	0.004851	0.991394
-21.374965	-4.501767	0.900864	0.004864	0.991377
-21.93123	-4.316768	0.905869	0.004986	0.991357
-21.130996	-4.595394	0.910874	0.004811	0.99137
-21.519596	-4.468323	0.915878	0.004896	0.991352
-21.247548	-4.622137	0.920883	0.004836	0.991275
-22.535323	-4.315408	0.925888	0.005117	0.99106
-21.73957	-4.600178	0.930893	0.004943	0.991062
-22.232009	-4.428514	0.935898	0.005051	0.991054
-22.022292	-4.500974	0.940902	0.005005	0.991059
-21.984679	-4.570112	0.945907	0.004997	0.990982
-22.345636	-4.569721	0.950912	0.005076	0.990804
-22.795935	-4.417281	0.955917	0.005174	0.990791
