Wed Apr 21 19:43:37 2021

Number of Points = 3005
Depth (nm)	Load (µN)	Time (s)	Disp. Voltage(V)	Force Voltage(V)0.497686	0.109916	0.000000	0.000020	1.009858
0.309966	0.328758	0.005005	0.000061	1.010063
0.504270	0.171839	0.010010	0.000018	1.009945
0.592848	-0.019728	0.015014	-0.000001	1.009729
0.351168	0.072380	0.020019	0.000051	1.009737
0.348789	0.068764	0.025024	0.000052	1.009731
0.263022	0.102374	0.030029	0.000070	1.009735
0.522840	-0.004037	0.035034	0.000013	1.009718
0.449786	-0.187926	0.040038	0.000029	1.009434
0.373886	-0.166046	0.045043	0.000046	1.009427
0.226874	-0.180568	0.050048	0.000078	1.009336
0.447080	-0.438289	0.055053	0.000029	1.009094
0.292292	-0.417041	0.060058	0.000063	1.009048
0.119110	-0.540506	0.065062	0.000101	1.008797
0.353161	-0.676240	0.070067	0.000049	1.008727
0.149207	-0.783521	0.075072	0.000094	1.008483
0.228992	-0.946829	0.080077	0.000076	1.008301
0.341321	-1.129175	0.085082	0.000052	1.008109
0.151211	-1.250583	0.090086	0.000093	1.007852
0.123805	-1.436848	0.095091	0.000099	1.007586
0.056164	-1.576050	0.100096	0.000113	1.007365
-0.136027	-1.645561	0.105101	0.000155	1.007177
-0.036717	-1.865501	0.110106	0.000133	1.006927
0.019017	-2.126348	0.115110	0.000121	1.006600
-0.057332	-2.299895	0.120115	0.000138	1.006328
-0.007701	-2.538418	0.125120	0.000127	1.006028
-0.044209	-2.713362	0.130125	0.000134	1.005773
-0.057967	-2.965322	0.135130	0.000137	1.005424
-0.465097	-3.065834	0.140134	0.000226	1.005089
-0.545903	-3.265296	0.145139	0.000244	1.004778
-0.066196	-3.682766	0.150144	0.000139	1.004445
-0.369414	-3.869506	0.155149	0.000205	1.004043
-0.339884	-4.132168	0.160154	0.000198	1.003700
-0.587846	-4.310302	0.165158	0.000252	1.003337
-0.410592	-4.649360	0.170163	0.000213	1.002962
-0.432403	-4.972518	0.175168	0.000218	1.002511
-0.654424	-5.182998	0.180173	0.000266	1.002115
-1.076651	-5.310585	0.185178	0.000358	1.001734
-0.903511	-5.632463	0.190182	0.000320	1.001380
-0.959692	-5.935481	0.195187	0.000333	1.000939
-0.868753	-6.237890	0.200192	0.000313	1.000571
-1.262377	-6.391303	0.205197	0.000398	1.000169
-1.532465	-6.631754	0.210202	0.000457	0.999707
-4.581203	-5.704575	0.215206	0.001123	0.999477
-5.452163	-5.394122	0.220211	0.001313	0.999474
